"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8"
-45,5239;-9,2293;-4,1356;30,4440;28,8417;-15,8240;-2,1467;-172,1912
-40,0434;-8,0257;-5,8728;30,4622;29,3758;-15,8399;-1,5520;-182,8346
-34,3916;-6,8222;-7,4215;30,3083;29,7379;-15,6679;2,5590;-10,1480
-28,5687;-5,6349;-8,9864;29,9824;29,9280;-15,5117;0,7766;-10,1641
-22,5748;-4,2431;-10,3468;29,4845;29,9280;-15,1837;1,6363;-9,0528
-16,3939;-3,0560;-11,9116;28,8145;29,9643;-14,6677;2,5129;-4,6431
-10,2291;-1,6805;-13,3041;27,9542;29,6384;-14,1518;2,9656;-185,6009
-3,8769;-0,3051;-14,5085;27,1300;29,1223;-13,6519;6,3301;-9,4923
2,4754;1,0704;-15,7288;25,9256;28,6424;-12,9640;6,5891;-9,1484
8,8447;2,4458;-16,7611;24,7391;27,7822;-12,2761;7,8950;-8,5287
15,0256;3,8381;-17,8092;23,3804;26,9400;-11,6043;8,1864;-11,6733
21,2418;5,0248;-18,6694;21,8317;25,9256;-10,7607;6,8651;-7,9608
27,0799;6,4172;-19,5453;20,3006;24,7391;-9,7128;8,8927;-7,1842
32,9362;7,6208;-20,2491;18,5974;23,3625;-8,8692;9,4086;-9,2921
38,6400;8,8244;-20,7652;16,7043;22,0037;-7,8375;9,9417;-13,9300
43,9825;10,0451;-21,3124;14,8287;20,4727;-6,8222;10,3372;-5,9298
49,1730;11,0768;-21,4844;12,7635;18,7519;-5,6022;10,1480;-5,0536
54,0016;12,1085;-21,6564;10,6982;17,0485;-4,5869;10,3540;-3,7403
58,6589;13,1575;-21,8440;8,6501;15,1555;-3,3834;8,0669;-9,9380
63,1844;14,0172;-21,8751;6,3956;13,2798;-2,1632;8,1025;-13,3270
67,1758;14,8770;-21,5156;4,3473;11,2145;-1,1481;9,7869;-2,3021
70,8244;15,7543;-21,3747;2,1098;9,1493;0,0554;10,0103;-1,6143
74,1503;16,4596;-20,8588;-0,1276;7,1011;1,2590;9,6663;-0,9430
76,9615;16,9755;-20,3585;-2,3651;4,8636;2,4626;9,3393;0,2333
79,2373;17,4914;-19,6863;-4,6190;2,6094;3,6662;8,7891;-2,7712
81,1903;18,0249;-18,8265;-6,6679;0,5608;4,8866;8,7025;1,2924
82,6281;18,3864;-17,9825;-8,9216;-1,6766;5,9014;7,6191;2,1690
83,5295;18,5584;-16,9508;-10,9868;-3,9306;7,1220;7,2732;2,8568
84,1080;18,7480;-15,9350;-13,0680;-5,9794;8,1537;4,9343;3,5447
84,1706;18,7480;-14,7314;-14,9611;-8,2331;9,1853;3,4438;4,2326
83,6962;18,7656;-13,5438;-16,8699;-10,3145;10,2342;5,3997;4,9204
82,8776;18,6112;-12,1683;-18,5908;-12,1915;11,0940;4,7115;5,6083
81,7354;18,2671;-10,8090;-20,3273;-14,2727;11,9538;4,2595;6,3131
80,0765;17,9231;-9,2617;-21,8916;-16,1816;12,8308;0,7265;6,8290
77,8802;17,6141;-7,7144;-23,2681;-17,9025;13,5187;2,3198;7,3279
75,3391;16,9085;-6,1834;-24,6601;-19,6390;14,2066;1,5098;8,0499
72,4532;16,4099;-4,4478;-25,8952;-21,2033;14,9118;0,0666;8,3768
69,2425;15,7392;-2,9170;-26,7554;-22,5798;15,4452;-0,6381;8,9098
65,4942;14,8790;-1,1979;-27,6157;-23,9718;15,7891;-1,0878;9,2538
61,4007;14,0188;0,5379;-28,5063;-25,1917;16,1331;-2,3088;9,8549
56,9619;13,1759;2,0685;-29,0376;-26,2393;16,4945;-3,3741;7,7367
52,1585;12,1435;3,7876;-29,3816;-27,0995;16,6665;-3,9964;3,6362
47,1823;11,1284;5,5237;-29,7560;-27,9902;16,8560;-5,4385;6,8841
42,0521;9,9240;7,0710;-29,7560;-28,5063;16,8735;-6,0939;10,6640
36,5578;8,7196;8,6183;-29,7863;-29,0376;16,7015;-7,1588;10,6640
30,8724;7,5152;10,1827;-29,4424;-29,3968;16,5295;-7,8470;10,6640
25,2049;6,3277;11,5582;-29,1136;-29,5840;16,3749;-8,5351;10,6812
19,3470;4,9343;12,9336;-28,6281;-29,6143;16,0309;-9,2071;10,4920
13,5064;3,7467;14,3264;-27,7683;-29,2704;15,7043;-10,1157;10,5092
7,4758;2,3701;15,5300;-26,9238;-28,9416;15,1882;-10,3952;10,3372
1,4453;0,9936;16,7511;-25,9075;-28,4409;14,6895;-11,4918;10,1823
-4,5853;-0,3830;17,7828;-24,7039;-27,7530;14,0014;-11,7556;10,1987
-10,6320;-1,7595;18,8320;-23,5313;-27,0958;13,3306;-12,9920;5,5264
-16,4741;-3,1526;19,7095;-21,9840;-26,0641;12,4704;-13,8841;9,1502
-22,5357;-4,3570;20,3973;-20,4366;-25,0478;11,6102;-14,4639;8,8233
-28,2364;-5,5450;21,1029;-18,9207;-23,8597;10,7499;-14,2760;8,3413
-33,7792;-6,9379;21,6365;-17,0298;-22,4997;9,9069;-14,4512;7,4130
-38,9469;-8,1423;21,9805;-15,1388;-20,9524;8,8746;-12,3519;7,2750
-44,1436;-9,3629;22,3600;-13,2638;-19,4208;7,8593;-12,6960;6,7760
-48,9948;-10,3952;22,3422;-11,2011;-17,7174;6,6379;-13,0720;6,0709
-53,5006;-11,4275;22,5498;-9,1383;-15,8264;5,6225;-12,9760;5,5717
-57,6611;-12,4598;22,3778;-7,0918;-13,9355;4,4181;-14,1837;4,8836
-61,4629;-13,5081;22,2235;-4,8573;-12,0606;3,1969;-13,2440;4,1954
-65,1189;-14,3843;21,8972;-2,6227;-9,9978;2,1813;-13,2920;3,5241
-68,2442;-15,0724;21,3989;-0,3882;-7,9350;0,9769;-12,7440;2,6471
-71,0246;-15,7606;20,7107;1,8464;-5,8886;-0,2275;-12,5880;1,9590
-73,4733;-16,4645;20,0403;4,0809;-3,6541;-1,4320;-12,2441;1,2876
-75,3921;-16,9964;19,1800;6,3324;-1,4030;-2,6364;-11,8841;0,4107
-76,9664;-17,3404;18,3374;8,3781;0,6431;-3,8408;-11,5353;-0,2775
-78,2090;-17,7002;17,3226;10,6298;2,8777;-5,0616;-13,4480;-0,9490
