"Position (mm) Run #1"
-68,0991
-63,8045
-59,5781
-54,4398
-49,1160
-43,8211
-38,1692
-32,3461
-26,3366
-20,3428
-14,1778
-7,8093
-1,6450
4,7073
11,0767
17,2576
23,4740
29,3121
35,1685
40,8725
46,2341
51,2341
56,1016
60,4159
64,5787
68,4187
71,7240
74,6862
77,3053
79,6017
81,3623
82,8001
83,7223
84,1289
83,9985
83,5658
82,4029
80,9163
78,8923
76,5441
73,6380
70,5998
67,0040
63,2753
58,9896
54,5506
49,7661
44,6173
39,3143
33,6289
27,9616
22,1214
16,0909
10,0603
4,0298
-2,0008
-8,0476
-13,9056
-19,7792
-25,4646
-31,1651
-36,7076
-41,8899
-46,8995
-51,7504
-56,2559
-60,4298
-64,0725
-67,3702
-70,3361
-72,7588
-75,0479
-76,6094
-78,0243
-78,9099
-79,4640
-79,4894
-79,1835
-78,3491
-77,1839
-75,5034
-73,2818
-70,9279
-67,8479
-64,6098
-61,0423
-56,9331
-52,6524
-48,2147
-43,4199
-38,4538
-33,3315
-27,8362
-22,3565
-16,7057
-10,8676
-5,0295
0,8252
6,4749
12,3302
18,0144
23,5096
29,0410
34,2116
39,2109
44,0578
48,5431
52,8763
56,8472
60,6860
63,9906
66,9321
69,7422
72,0375
73,7770
75,4059
76,3066
76,8635
77,0970
76,7940
76,1672
75,0036
73,4956
71,6430
69,4458
66,9239
63,8450
60,6330
56,8643
52,9424
48,6753
44,0439
39,2397
34,2629
29,0951
23,9453
18,6226
13,1098
7,5969
2,0841
-3,4122
-9,1300
-14,4703
-19,8106
-25,1663
-30,3492
-35,3742
-40,0392
-44,5314
-48,8653
-52,8539
-56,5112
-59,6236
-62,5637
-65,3580
-67,6220
-69,5546
-70,9443
-72,1878
-72,9020
-73,2720
-73,3110
-72,8210
-72,0004
-70,6643
-68,7865
-66,7637
-64,1990
-61,4764
-58,4106
-55,0018
-51,2360
-47,3131
-43,0329
-38,5815
-33,9586
-29,1645
-24,2146
-18,8752
-13,7388
-8,4313
-2,9196
2,4041
7,7449
12,8972
18,0494
23,2195
28,2363
32,8741
37,5303
42,0152
46,3478
50,3375
53,9650
57,4601
60,4209
63,0188
65,5048
67,2439
68,8514
69,9033
70,8236
71,2080
71,2686
70,7728
70,1249
69,1530
67,6443
65,8112
63,4213
60,8788
57,9914
54,7591
51,1626
47,4125
43,2984
39,0116
34,5338
30,0923
25,2696
20,4645
15,4867
10,3018
5,3235
0,1557
-4,9956
-10,3682
-15,3793
-20,1864
-25,2125
-29,8780
-34,3857
-38,5186
-42,6952
-46,3110
-49,9551
-53,2542
-56,2084
-58,8041
-61,2409
-63,3332
-65,0942
-66,3253
-67,2121
-67,7680
-67,7813
-67,6491
-66,9878
-65,9828
