"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8";"Position (mm) Run #9";"Position (mm) Run #10";"Position (mm) Run #11";"Position (mm) Run #12";"Position (mm) Run #13"
-40,1087;-9,1747;21,2749;-14,9828;-20,7961;7,6702;-18,3411;5,7437;14,5193;-26,6788;-26,0027;-6,8385;-0,2718
-45,8229;-10,3952;21,8085;-12,9040;-19,0770;6,6549;-19,0606;5,3094;12,1096;-28,4302;-25,6741;-5,4630;0,7599
-51,1914;-11,4275;22,1702;-11,0453;-17,3736;5,4335;-19,4517;1,5360;9,7170;-29,8219;-25,1582;-4,0876;1,7916
-56,2005;-12,4759;22,3600;-8,7945;-15,4826;4,4181;-19,2797;3,6793;7,1351;-31,0414;-24,6731;-2,7121;2,8233
-61,0641;-13,3361;22,3600;-6,7481;-13,6076;3,2137;-19,1077;2,9912;4,5532;-32,0737;-23,8133;-1,3367;3,8549
-65,3963;-14,2122;22,3600;-4,4971;-11,5449;2,0093;-18,9985;2,3031;1,9712;-33,1360;-22,9690;0,0221;4,8866
-69,3964;-14,8845;22,3955;-2,4509;-9,4821;0,8048;-18,2646;2,2688;-0,6107;-33,8391;-21,9529;1,5862;5,9353
-72,8659;-15,7764;22,0515;-0,2163;-7,4356;-0,3996;-15,8716;-5,4714;-3,1927;-34,3701;-20,7493;2,9616;6,7781
-75,9904;-16,2925;21,7252;2,0182;-5,1847;-1,6040;-15,3239;-10,0301;-5,7746;-34,7291;-19,5614;4,3371;7,8268
-78,7828;-16,8244;21,2268;4,2528;-3,1384;-2,8084;-14,9293;-7,9648;-8,3728;-34,9309;-18,2017;5,7125;8,7037
-81,0454;-17,1684;20,5387;6,5043;-0,9039;-4,0293;-17,3720;-1,2931;-10,7663;-34,7589;-16,6544;7,1050;9,3744
-82,9760;-17,5125;19,8682;8,5500;1,3307;-5,0452;-17,4509;-2,1698;-13,3803;-34,6168;-15,1070;8,2915;10,2514
-84,3898;-17,8722;19,0256;10,8189;3,5821;-6,2660;-16,5753;-2,8580;-15,6177;-34,1158;-13,5917;9,6841;10,9564
-85,2872;-18,0600;17,9933;12,6926;5,6279;-7,2983;-15,9825;-3,5461;-17,8552;-33,4279;-11,6847;10,9048;11,4551
-85,6560;-18,0600;16,9785;14,7727;7,8795;-8,3468;-14,1199;-4,2342;-20,1083;-32,7701;-9,9817;11,9365;12,1775
-85,6931;-18,0757;15,7741;16,6812;9,9422;-9,1909;-14,0277;-4,9388;-22,1891;-31,7534;-8,0907;12,9682;12,5042
-85,2143;-17,9195;14,5870;18,4003;12,0222;-10,2393;-12,9160;-5,4385;-24,0976;-30,5650;-6,1997;13,9999;13,0374
-84,2199;-17,5755;13,2105;20,1194;13,9132;-11,0995;-12,8401;-6,1430;-25,8184;-29,2047;-4,3088;15,0490;13,3987
-82,6977;-17,2316;11,8339;21,8741;15,8042;-11,9758;-11,6365;-6,2833;-27,5698;-27,6574;-2,4343;15,9262;13,5707
-80,8445;-16,9034;10,4746;23,2495;17,7126;-12,6639;-10,4168;-10,9223;-28,9464;-26,1408;-0,3550;16,6141;13,7427
-78,4763;-16,4033;8,9259;24,6428;19,4494;-13,3681;-9,4174;-14,4576;-30,3381;-24,2498;1,5360;17,3195;13,9320
-75,5805;-15,7155;7,3772;25,8464;20,9967;-13,8841;-7,9283;-8,2235;-31,5726;-22,3744;3,4102;17,8529;13,9493
-72,3417;-15,0435;5,8454;27,0860;22,5618;-14,4002;-7,8213;-7,5749;-32,4329;-20,3272;5,4898;18,1969;13,7600
-68,7731;-14,1837;4,1246;27,9458;23,9551;-14,9322;-7,0104;-19,8275;-33,3081;-18,0927;7,3808;18,5408;13,7947
-64,6634;-13,3239;2,3869;28,8417;25,1586;-15,2762;-5,5859;-15,6438;-34,0261;-15,8740;9,2889;18,9024;13,4506
