"Time (s) Run #1";"Position (mm) Run #1";"Time (s) Run #2";"Position (mm) Run #2";"Time (s) Run #3";"Position (mm) Run #3"
1,140;-0,1720;1,140;61,2320;1,140;123,1520
1,150;-0,1720;1,150;61,2320;1,150;123,1520
1,160;-0,1720;1,160;61,2320;1,160;123,1520
1,170;-0,1720;1,170;61,2320;1,170;123,1520
1,180;-0,1720;1,180;61,2320;1,180;123,1520
1,190;-0,1720;1,190;61,2184;1,190;123,1520
1,200;-0,1720;1,200;61,4040;1,200;123,1520
1,210;-0,1720;1,210;61,4040;1,210;123,1520
1,220;-0,1720;1,220;61,4040;1,220;123,1520
1,230;-0,1720;1,230;61,4040;1,230;123,1520
1,240;-0,1720;1,240;61,4040;1,240;123,1520
1,250;-0,1720;1,250;61,4040;1,250;123,1520
1,260;-0,1720;1,260;61,4040;1,260;123,1520
1,270;-0,1825;1,270;61,4040;1,270;123,1520
1,280;0,0000;1,280;61,4040;1,280;123,1520
1,290;0,0000;1,290;61,4040;1,290;123,1520
1,300;0,0000;1,300;61,4176;1,300;123,1520
1,310;0,0000;1,310;61,2320;1,310;123,1520
1,320;0,0000;1,320;61,2320;1,320;123,1520
1,330;0,0000;1,330;61,2320;1,330;123,1520
1,340;0,0000;1,340;61,2320;1,340;123,1520
1,350;0,0000;1,350;61,2320;1,350;123,1520
1,360;-0,0105;1,360;61,2320;1,360;123,1520
1,370;0,1720;1,370;61,2320;1,370;123,1520
1,380;0,1720;1,380;61,2320;1,380;123,1520
1,390;0,1720;1,390;61,2320;1,390;123,1520
1,400;0,1720;1,400;61,2320;1,400;123,1520
1,410;0,1720;1,410;61,2320;1,410;123,1520
1,420;0,1720;1,420;61,2320;1,420;123,1520
1,430;0,1720;1,430;61,2320;1,430;123,1520
1,440;0,1720;1,440;61,2320;1,440;123,1520
1,450;0,1615;1,450;61,2320;1,450;123,1520
1,460;0,3440;1,460;61,2320;1,460;123,1520
1,470;0,3440;1,470;61,2320;1,470;123,1520
1,480;0,3440;1,480;61,2456;1,480;123,1354
1,490;0,3440;1,490;61,0600;1,490;123,3240
1,500;0,3440;1,500;61,0600;1,500;123,3240
1,510;0,3440;1,510;61,0600;1,510;123,3240
1,520;0,3440;1,520;61,0600;1,520;123,3240
1,530;0,3440;1,530;61,0600;1,530;123,3240
1,540;0,3440;1,540;61,0600;1,540;123,3240
1,550;0,3440;1,550;61,0600;1,550;123,3240
1,560;0,3440;1,560;61,0600;1,560;123,3240
1,570;0,3440;1,570;61,0600;1,570;123,3240
1,580;0,3440;1,580;61,0600;1,580;123,3240
1,590;0,3440;1,590;61,0600;1,590;123,3240
1,600;0,3440;1,600;61,0600;1,600;123,3240
1,610;0,3440;1,610;61,0600;1,610;123,3240
1,620;0,3440;1,620;61,0600;1,620;123,3240
1,630;0,3440;1,630;61,0600;1,630;123,3240
1,640;0,3440;1,640;61,0600;1,640;123,3240
1,650;0,3440;1,650;61,0600;1,650;123,3240
1,660;0,3440;1,660;61,0600;1,660;123,3240
1,670;0,3440;1,670;61,0600;1,670;123,3240
1,680;0,3440;1,680;61,0600;1,680;123,3240
1,690;0,3440;1,690;61,0600;1,690;123,3240
1,700;0,3440;1,700;61,0600;1,700;123,3240
1,710;0,3440;1,710;61,0600;1,710;123,3240
1,720;0,3440;1,720;61,0600;1,720;123,3240
1,730;0,3440;1,730;61,0600;1,730;123,3240
1,740;0,3440;1,740;61,0600;1,740;123,3240
1,750;0,3440;1,750;61,0600;1,750;123,3240
1,760;0,3440;1,760;61,0600;1,760;123,3240
1,770;0,3440;1,770;61,0600;1,770;123,3240
1,780;0,3440;1,780;61,0600;1,780;123,3240
1,790;0,3440;1,790;61,0600;1,790;123,3240
1,800;0,3545;1,800;61,0600;1,800;123,3240
