"Position (mm) Run #1";"Position (mm) Run #2"
-21,1426;-13,0654
-21,3146;-14,6339
-21,5000;-16,0499
-21,5000;-17,0429
-21,5000;-18,4586
-21,5134;-19,5495
-21,3414;-20,0460
-21,1828;-20,7342
-20,8388;-21,5582
-20,4949;-20,9451
-20,1643;-21,3086
-19,6484;-21,4806
-19,1460;-21,6526
-18,4581;-21,8440
-17,7703;-21,8634
-17,0960;-21,6914
-16,2362;-21,3835
-15,3764;-22,5901
-14,5167;-22,1129
-13,6706;-21,2532
-12,6389;-20,3934
-11,6073;-19,5531
-10,5895;-18,5605
-9,3719;-17,1458
-8,3543;-16,1732
-7,1507;-14,6061
-5,9471;-13,2307
-4,7435;-11,8950
-3,5400;-10,1559
-2,3364;-8,6286
-1,1328;-6,8893
0,0708;-5,3420
1,2744;-3,8353
2,4779;-1,9240
3,6815;-0,2048
4,8851;1,4937
6,0887;3,4054
7,3071;5,1245
8,3239;6,8436
9,5424;8,5628
10,5741;10,3029
11,6208;11,8502
12,4655;13,4187
13,5123;14,8154
14,3721;16,0189
15,2319;17,2225
16,1070;18,4689
16,7948;19,3287
17,4980;20,1885
17,9986;21,0914
18,7172;21,6073
19,0458;22,1232
19,5771;22,6824
19,9365;22,8544
20,0931;23,0480
20,4680;23,0696
20,4525;22,9193
20,6400;22,5752
20,6555;22,2744
20,4680;21,5647
20,4835;21,0917
20,3269;20,2315
19,9829;19,3928
19,6389;18,3605
19,3103;17,3495
18,7942;16,1664
18,2935;14,7899
17,6053;13,4345
16,9172;11,8647
16,2291;10,5302
15,5562;8,7884
14,6960;7,2606
13,8509;5,5397
12,8035;3,8395
11,9583;1,9259
10,9260;0,2050
9,8937;-1,5158
8,8763;-3,2570
7,6570;-4,8057
6,6395;-6,3544
5,4351;-7,9232
4,2307;-9,3198
3,0263;-10,6041
1,8218;-11,1002
0,6174;-11,5294
-0,6014;-14,6734
-1,6194;-15,7057
-2,8238;-16,6987
-4,0282;-18,1145
-5,2326;-19,1859
-6,4512;-19,8740
-7,4694;-20,5816
-8,6879;-21,0977
-9,7202;-21,6526
-10,7525;-21,8440
-11,7987;-21,8440
-12,6451;-21,9992
-13,6911;-20,5459
-14,5651;-19,8190
-15,2395;-19,4946
-16,1134;-18,9786
-16,8015;-18,4823
-17,5033;-17,7944
-18,0193;-17,1458
-18,5354;-16,0944
-19,0650;-15,0768
-19,4090;-15,7899
-19,7531;-14,5864
-20,1105;-13,3630
-20,2826;-12,3909
-20,4680;-10,8236
-20,4680;-9,4482
-20,4680;-8,0928
-20,4814;-6,5455
-20,3094;-4,9982
-20,1509;-3,4712
-19,8069;-1,7317
-19,4630;-0,2048
-19,1325;1,5143
-18,6166;3,2334
-18,1142;4,9733
-17,4128;6,5206
-16,9104;8,0679
-16,2362;9,6362
-15,3764;11,0116
-14,5167;12,3871
-13,6569;13,8049
-12,7971;14,8154
-11,9512;16,0402
-10,9195;17,0933
-9,8878;17,9530
-8,8561;18,8343
-7,8385;19,5436
-6,6208;20,0595
-5,6032;20,5970
-4,3854;20,9409
-3,3680;21,3280
-2,1644;21,3280
-0,9609;21,3496
0,2427;21,1776
1,4608;21,0271
2,4779;20,7046
3,6815;20,2100
4,8998;19,5219
5,9315;18,8552
6,9484;18,0164
8,1668;16,9841
9,1985;15,9517
10,2452;14,9619
11,0899;13,5642
12,1367;12,3809
12,9965;11,0254
13,8714;9,4767
14,5441;7,9280
15,4191;6,3793
16,1222;4,8306
16,6228;3,2819
17,3260;1,7538
17,8573;0,0124
18,2013;-1,5362
18,5452;-3,0849
18,8892;-4,6539
19,2486;-6,0305
19,4206;-7,4070
19,6080;-8,8839
19,6080;-9,2196
19,6080;-11,5638
19,6234;-11,0404
19,4514;-12,2249
19,2948;-13,6609
18,9508;-14,5212
18,6068;-15,3814
18,2781;-16,2416
17,7620;-17,1411
17,2460;-17,6768
16,7452;-18,0012
16,0570;-18,5564
15,3841;-18,7284
14,5087;-18,9200
13,8357;-18,9395
12,9755;-18,7676
12,1304;-18,6151
11,0831;-18,2712
10,2378;-17,9468
9,2055;-17,4505
8,1732;-16,7823
7,1409;-15,9225
6,1233;-15,0627
4,9042;-14,2029
3,8866;-13,3828
2,6675;-12,1394
1,6498;-11,1800
0,4454;-11,3394
-0,7735;-9,9240
-1,7914;-8,9324
-3,0102;-7,5569
-4,0425;-6,1815
-5,0606;-4,8060
-6,2791;-3,4712
-7,3115;-1,7317
-8,3438;-0,1844
-9,3761;1,3629
-10,4223;2,9102
-11,2825;4,4783
-12,1428;5,8329
-13,0030;7,4011
-13,8769;8,7765
-14,5514;10,1730
-15,4389;11,3766
-15,9414;12,6013
-16,6431;13,6118
-17,1592;14,8578
-17,6753;15,7176
-18,2049;16,5774
-18,5489;17,4585
-18,9065;18,1678
-19,0785;18,7051
-19,2505;19,0491
-19,4360;19,4145
-19,4360;19,6080
-19,4360;19,6080
-19,4495;19,6295
-19,2910;19,4575
-18,9335;19,3069
-18,7750;18,9843
-18,4311;18,4683
-18,1007;17,9736
-17,5847;17,2854
-17,0688;16,6400
-16,5665;15,5864
-15,8787;14,7474
-15,1908;13,7363
-14,5029;12,5318
-13,8288;11,3274
-12,9690;10,1440
-12,1093;8,7675
-11,2634;7,3909
-10,2177;6,0144
-9,3719;4,6585
-8,3402;3,0892
-7,3085;1,7332
-6,2769;0,1845
-5,2594;-1,3642
-4,0415;-2,9332
-3,0098;-4,3301
-1,9925;-5,5143
-0,7745;-6,8908
0,2572;-8,2874
1,2744;-9,4919
2,4925;-10,6963
3,5242;-11,9405
4,5559;-12,8404
5,5876;-13,2772
6,6193;-14,6398
7,6510;-14,4085
8,6975;-14,7327
9,5424;-15,2291
10,5891;-15,9369
11,4489;-16,4727
12,3237;-16,8363
13,0116;-17,0084
13,6843;-17,2000
14,5744;-17,2000
15,0752;-17,2196
15,7783;-17,0476
16,2942;-16,9149
16,8254;-16,3990
17,1694;-15,9028
17,5133;-15,1755
17,8726;-14,7327
18,0446;-15,4461
18,2166;-14,3216
18,4040;-12,1921
18,4040;-12,4635
18,4040;-11,8950
18,4194;-10,0560
18,2474;-9,4081
18,0907;-8,4166
17,7467;-7,0210
17,4027;-5,8174
17,0586;-4,6543
16,7299;-3,0867
16,2138;-1,7113
15,7130;-0,3563
15,0248;1,2116
14,3367;2,5870
13,6486;3,9831
12,9755;5,1660
12,1153;6,5622
11,2551;7,7450
10,3949;9,1623
9,5496;10,1730
8,5024;11,3976
7,6570;12,4293
6,6247;13,4822
5,5924;14,3632
4,5601;15,0510
3,5424;15,7389
2,3234;16,4481
1,2911;16,9853
0,2733;17,3293
-0,9455;17,6946
-1,9779;17,8880
-3,0102;17,8880
-4,0425;17,8880
-5,0748;17,9308
-6,1071;17,5867
-7,1394;17,2427
-8,1858;16,9200
-9,0320;16,4253
-10,0782;15,7371
-10,9385;15,0702
-11,7987;14,2100
-12,6727;13,3710
-13,3608;12,3387
-14,0490;11,3274
-14,7371;10,1230
-15,4389;8,9186
-15,9550;7,7142
-16,4711;6,5097
-17,0008;5,3261
-17,3448;3,9495
-17,6889;2,5730
-18,0464;1,1964
-18,2185;-0,1801
-18,3905;-1,5567
-18,5760;-2,9536
-18,5760;-4,1580
-18,5895;-5,3624
-18,4175;-6,5668
-18,2455;-7,7713
-18,0736;-9,0158
-17,9151;-9,8360
-17,5712;-11,0604
-17,2408;-12,1126
-16,7249;-12,9926
-16,2089;-13,6609
-15,7067;-14,5212
-15,0051;-15,4406
-14,5029;-15,7452
-13,8288;-16,5120
-12,9552;-16,5120
-12,2812;-16,5710
-11,4214;-15,9960
-10,5616;-16,0354
-9,7158;-15,6520
-8,6701;-15,6914
-7,8244;-15,3277
-6,7927;-15,1952
-5,7468;-14,6595
-4,9013;-14,1969
-3,8696;-15,0430
-2,8379;-14,3946
-1,8206;-13,2638
-0,6026;-13,1513
0,4291;-12,4635
1,4608;-11,8353
2,4925;-10,5918
3,5242;-9,7520
4,5706;-8,7604
5,4156;-7,3448
6,4621;-6,3332
7,3071;-5,1297
8,3536;-3,9464
9,2134;-2,5709
10,0732;-1,1750
10,9480;0,0080
11,6208;1,4041
12,4957;2,5870
13,1987;3,9831
13,6994;5,1867
14,4025;6,3903
14,9184;7,5939
15,4343;8,8184
15,9655;9,8501
16,3095;10,9028
16,6687;11,7626
16,8254;12,6224
17,1847;13,5245
17,3720;14,0192
17,3720;14,7283
17,3720;15,2442
17,3720;15,7814
17,3873;16,1467
17,2153;16,3187
17,0586;16,5120
16,7146;16,5120
16,3706;16,5120
16,0265;16,5546
15,6977;16,2106
15,1816;15,8879
14,6808;15,3718
13,9775;14,8557
13,4765;14,3608
12,8035;13,6939
11,9282;12,8337
11,2551;11,9735
10,3799;11,1343
9,7067;10,1020
8,8614;9,0697
7,8142;8,0583
6,9688;6,8539
5,9218;5,6494
5,0763;4,4450
4,0440;3,2613
3,0116;1,8641
1,9648;0,6802
1,1191;-0,7168
0,0868;-1,9008
-0,9455;-3,2977
-1,9779;-4,5224
-3,0102;-5,5547
-4,0425;-6,6072
-5,0890;-7,4271
-5,9350;-8,7319
-6,9815;-9,1160
-7,8417;-8,8553
-8,7019;-11,4118
-9,5621;-10,7562
-10,4223;-11,4443
-11,2964;-12,1325
-11,9846;-12,7610
-12,6727;-14,1040
-13,3608;-14,0842
-14,0627;-14,2364
-14,5651;-14,6200
-15,2806;-14,6002
-15,6110;-14,7920
-16,1407;-14,8118
-16,4847;-14,6398
-16,8288;-14,4875
-17,1864;-14,0446
-17,3584;-14,7583
-17,5440;-13,4953
-17,5440;-12,8074
-17,5440;-12,0997
-17,5440;-11,6236
-17,5576;-10,5841
-17,3856;-11,4914
-17,2272;-10,2080
-16,8832;-9,7320
-16,5393;-8,8923
-16,1953;-7,8807
-15,8650;-6,6570
-15,3491;-5,6253
-14,8469;-4,5936
-14,1452;-3,5822
-13,6431;-2,3990
-12,9552;-1,0031
-12,2812;0,2005
-11,4075;1,4041
-10,7336;2,6076
-9,8738;3,8112
-9,0140;5,0355
-8,1542;6,0464
-7,3085;7,2709
-6,2627;8,3235
-5,4171;9,1623
-4,3854;10,2150
-3,3394;11,0958
-2,4940;11,7626
-1,4623;12,6646
-0,4306;13,1594
0,6156;13,8684
1,4608;14,4056
2,4925;14,7495
3,5388;15,1148
4,3839;15,2867
5,4304;15,4800
6,2901;15,4800
7,1351;15,5013
8,1817;15,3505
9,0564;15,0065
9,7293;14,6625
10,6041;14,3396
11,2919;13,8236
11,9798;13,3286
12,6827;12,6405
13,1835;11,9735
13,8865;11,1132
14,4176;10,2530
14,7464;9,4138
15,2776;8,3815
15,6215;7,3492
15,9807;6,3169
16,1527;5,3053
16,3247;4,1009
16,4967;2,8965
16,6840;1,6920
16,6840;0,4876
16,6993;-0,7373
16,5273;-1,7492
16,3553;-2,9536
16,1833;-4,1783
16,0265;-5,2106
15,6977;-6,2631
15,1664;-7,1032
14,8376;-8,1556
14,3215;-9,0559
13,8054;-9,5720
13,3045;-9,9880
12,6013;-11,5837
12,1002;-10,9681
11,4271;-11,2922
10,5519;-11,8083
9,8788;-12,3442
9,0185;-12,6883
8,1583;-13,0125
7,2981;-13,5880
6,4379;-13,5484
5,5924;-13,9122
4,5454;-14,0842
3,6998;-14,3353
2,6529;-13,8194
1,8073;-13,2837
0,7750;-12,9794
-0,2718;-12,2716
-1,1176;-11,6163
-2,1643;-12,4237
-3,0102;-12,1196
-4,0567;-11,5113
-4,9027;-10,0160
-5,9492;-9,7120
-6,8094;-9,0442
-7,6696;-8,2045
-8,5298;-7,1527
-9,4041;-6,3131
-10,0782;-5,2612
-10,9524;-4,4419
-11,6405;-3,2180
-12,3286;-2,2067
-13,0306;-1,0031
-13,5467;0,2210
-14,0627;1,2321
-14,5788;2,4563
-15,1086;3,4673
-15,4526;4,6916
-15,7967;5,7441
-16,1544;6,5831
-16,3264;7,6356
-16,4984;8,4954
-16,6840;9,3552
-16,6840;10,2360
-16,6840;10,9238
-16,6840;11,6328
-16,6976;12,1487
-16,5393;12,6646
-16,1816;13,2017
-16,0233;13,5457
-15,6793;13,9108
-15,3354;14,0828
-15,0051;14,2760
-14,4892;14,2972
-13,9733;14,1040
-13,4711;14,1464
-12,7833;13,8024
-12,0954;13,4583
-11,4075;13,1143
-10,7197;12,8125
-10,0458;12,1033
-9,1720;11,6083
-8,4982;10,9202
-7,6384;10,2530
-6,7927;9,3928
-5,7468;8,5326
-4,8871;7,6933
-4,0273;6,6610
-3,1818;5,6287
-2,1357;4,5963
-1,2904;3,5640
-0,2442;2,5317
0,6011;1,4994
1,6473;0,4876
2,4925;-0,7373
3,5388;-1,7696
4,3986;-2,8019
5,2584;-3,8342
6,1182;-4,8868
6,9780;-5,7268
7,8378;-6,7792
8,7124;-7,6394
9,4003;-8,4997
10,0732;-9,3799
10,9630;-10,0680
11,4639;-10,7562
12,1668;-11,4642
12,6827;-12,0002
13,1987;-12,3442
13,7146;-12,7081
14,2457;-12,9794
14,5896;-12,2319
14,9336;-12,0400
15,2928;-12,0201
15,4648;-12,2319
15,6368;-12,0400
15,8240;-12,0599
15,8240;-11,9078
15,8240;-11,5240
15,8392;-11,5041
15,6520;-11,6562
15,6825;-12,0997
15,3232;-11,6236
15,1664;-10,7438
14,8224;-10,0160
14,4784;-9,7120
14,1495;-9,0442
13,6334;-8,1844
13,1173;-7,3246
12,6163;-6,4649
11,9132;-5,6051
11,4121;-4,7655
10,7240;-3,7338
10,0508;-2,7022
9,1757;-1,6705
8,5024;-0,6388
7,6422;0,3929
6,7820;1,4246
5,9218;2,4563
5,0615;3,5087
4,2013;4,3477
3,3411;5,4002
2,4955;6,2600
1,4486;7,1198
0,6029;8,0004
-0,4438;8,6674
-1,3040;9,5481
-2,1499;10,2570
-3,1965;10,7729
-4,0567;11,2888
-4,9169;11,8258
-5,7772;12,1698
-6,6374;12,5349
-7,4976;12,7069
-8,3718;12,9000
-9,0460;12,9000
-9,9202;12,9000
-10,6083;12,9211
-11,3103;12,7491
-11,8125;12,5982
-12,5145;12,2542
-13,0306;11,9313
-13,5467;11,4152
-14,0765;10,8991
-14,4068;10,4041
-14,9503;9,7159
-15,1086;9,0278
-15,4663;8,3606
-15,6383;7,5003
-15,8103;6,6401
-15,9960;5,7799
-15,9960;4,9404
-15,9960;3,8874
-15,9960;3,0479
-16,0097;2,0156
-15,8377;0,9833
-15,6793;-0,0491
-15,3354;-1,1018
-14,9914;-1,9212
-14,6474;-3,1663
-14,3172;-4,0265
-13,8013;-4,8868
-13,2854;-5,7672
-12,7695;-6,4351
-12,2674;-7,2954
-11,5795;-8,1957
-10,8916;-8,6918
-10,2038;-9,4200
-9,5159;-9,7240
-8,8421;-10,4121
-7,9682;-11,1202
-7,2945;-11,6363
-6,4347;-12,1921
-5,5749;-12,3641
-4,7151;-12,5361
-3,8553;-12,7081
-3,0098;-12,9000
-1,9638;-12,9198
-1,1040;-12,7479
-0,2587;-12,5759
0,7875;-12,4237
1,6473;-12,0599
2,5071;-11,9078
3,3669;-11,6037
4,2267;-10,8958
5,0864;-10,3799
5,9462;-9,8640
6,8208;-9,3481
7,4938;-8,8522
8,3685;-8,1844
9,0564;-7,3246
9,7442;-6,4649
10,4471;-5,5849
10,9480;-4,9172
11,6509;-4,0575
12,1668;-3,2180
12,6827;-2,1863
13,2138;-1,1342
13,5577;-0,2949
13,9017;0,7368
14,2608;1,7891
14,4176;2,6489
14,7920;3,4880
14,7768;4,5404
14,9640;5,4002
14,9488;6,2600
15,1512;7,1406
14,9640;7,8285
14,9792;8,5163
14,8072;9,2251
14,6504;9,7201
14,3063;10,4500
13,9623;10,7939
13,6183;11,1379
13,2894;11,4819
12,7582;11,8469
12,4292;12,0189
11,9282;12,2120
11,2251;12,2120
10,7240;12,2120
10,0358;12,2331
9,3477;12,0822
8,6596;11,7171
7,9863;11,5872
7,1261;11,0501
6,2511;10,7271
5,5777;10,2320
4,7175;9,5229
3,8572;9,0278
2,9970;8,3606
2,1368;7,4795
1,2766;6,8122
0,4164;5,9520
-0,4294;5,0917
-1,4761;4,2315
-2,3363;3,3713
-3,1965;2,5111
-4,0567;1,6715
-4,9169;0,6186
-5,7913;-0,2211
-6,4653;-1,2738
-7,3396;-2,1137
-8,0137;-3,1663
-8,8880;-4,0265
-9,5761;-4,9070
-10,2782;-5,5749
-10,7803;-6,4755
-11,4824;-6,9513
-11,9984;-7,8316
-12,5145;-8,5398
-13,0306;-9,0759
-13,5604;-9,5000
-13,9045;-9,0759
-14,2485;-9,3398
-14,6063;-10,4121
