"Position (mm) Run #1";"Position (mm) Run #2"
-32,1865;-8,5782
-29,4490;-10,2991
-26,5275;-12,0200
-23,6060;-13,7599
-20,6972;-15,3086
-17,6169;-16,8763
-14,3389;-18,2529
-11,2589;-19,6482
-7,9807;-20,8714
-4,9009;-21,9037
-1,6360;-22,9547
1,6288;-23,8335
4,9077;-24,5403
7,9868;-25,0563
11,2660;-25,5724
14,3592;-26,1255
17,4671;-26,3160
20,3886;-26,3160
23,3101;-26,3345
26,2467;-26,1995
28,9965;-25,6836
31,7616;-25,1676
34,3552;-24,6889
36,7615;-23,8291
39,1835;-22,9879
41,4339;-21,9562
43,5126;-20,9433
45,4196;-19,7397
47,1387;-18,5550
48,8903;-17,1796
50,2657;-15,8231
51,6739;-14,2949
52,7056;-12,5758
53,7702;-10,8566
54,4580;-9,1568
55,1624;-7,2464
55,7114;-5,5468
55,9000;-3,6559
55,9000;-1,7452
55,9331;-0,0458
55,6056;1,8650
55,1061;3,5841
54,4180;5,3033
53,7627;7,0426
52,7468;8,5697
51,5424;10,3091
50,3706;11,8360
48,8219;13,5961
47,3055;14,9510
45,4124;16,5189
43,5353;17,9151
41,4860;19,1394
39,2485;20,1711
37,0423;21,2237
34,4604;22,1044
31,8784;22,7922
29,3117;23,5220
26,5575;23,8450
23,8183;24,4030
20,8918;24,5750
17,9800;24,7680
14,8812;24,7890
11,7824;24,6170
8,6837;24,4871
5,5849;23,9710
2,5000;23,4759
-0,7849;22,7878
-3,8837;22,1415
-6,9824;21,1092
-10,0812;20,0769
-13,1800;19,0861
-16,2918;17,6888
-19,2183;16,5050
-22,1574;15,1491
-24,8991;13,5799
-27,8504;12,2442
-30,4323;10,5030
-33,0264;8,9543
-35,4360;7,4056
-37,8576;5,8971
-40,1068;3,9841
-42,1721;2,2831
-44,2604;0,3702
-45,9813;-1,3506
-47,7136;-3,0518
-49,2736;-4,9840
-50,6614;-6,5132
-51,8770;-8,2341
-52,9204;-9,9742
-53,7917;-11,5229
-54,4909;-13,0908
-55,0180;-14,4673
-55,3730;-15,8439
-55,5560;-17,2394
-55,5670;-18,4438
-55,4060;-19,6671
-55,0730;-20,7182
-54,5682;-21,5784
