"Position (mm) Run #1";"Position (mm) Run #2"
-11,3731;-3,7657
-10,1971;-1,7029
-8,8493;0,3325
-7,3298;2,5945
-5,6107;4,6572
-3,9195;6,7476
-2,0005;8,6386
-0,3095;10,5853
1,6097;12,1326
3,3289;13,7359
5,0480;14,9395
6,7956;16,1993
8,3715;17,1154
9,7755;17,6596
11,0078;18,0318
12,0970;18,2602
12,7849;18,1165
13,5304;17,8289
13,9320;17,1408
13,9608;16,5371
13,8177;15,3327
13,5313;14,1563
12,8432;12,8357
12,2126;11,1149
11,2377;9,4218
9,8611;7,5288
8,5132;5,6634
6,9645;3,6257
5,4442;1,3608
3,7233;-0,7045
2,0307;-2,7697
0,1095;-4,8349
-1,5832;-6,9542
-3,5043;-8,6481
-5,2530;-10,5948
-6,8295;-12,1702
-8,2061;-13,5468
-9,6103;-14,9765
-10,8424;-16,0619
-11,9298;-16,7500
-12,6455;-17,4911
-13,1890;-17,8616
-13,5880;-18,0864
-13,6155;-17,9409
-13,4709;-17,6233
-13,1820;-17,1604
-12,5216;-16,3006
-11,6894;-15,4939
-10,6853;-14,3435
-9,5094;-12,7962
-8,1617;-11,2757
-6,6144;-9,5834
-5,0949;-7,6924
-3,4038;-5,8285
-1,4847;-3,7657
0,2344;-1,7029
1,9535;0,3598
3,6727;2,4500
5,4202;4,3134
6,9960;6,4315
8,3715;8,1506
9,7755;9,8976
11,0365;11,4728
11,9250;12,8762
12,6417;14,1078
13,1864;15,1676
13,5880;16,0555
13,6457;16,7997
13,3016;17,1718
13,0152;17,3720
12,3558;17,4284
11,5243;17,1408
10,5207;16,4526
9,3449;15,8207
7,9969;14,8446
6,4482;13,4680
4,9279;12,1194
3,2071;10,5986
1,5145;8,8777
-0,4067;7,1846
-2,1276;5,3192
-3,8764;3,2539
-5,4251;1,1613
-7,0016;-0,7045
-8,4059;-2,7969
-9,6103;-4,6899
-10,8700;-6,6100
-11,7578;-8,3039
-12,5010;-10,2775
-12,8725;-11,6273
-13,0720;-13,2293
-13,0995;-14,4604
-12,9550;-15,5192
-12,6661;-16,4325
-12,0057;-16,9485
-11,2011;-17,5440
-9,9975;-17,5705
-8,8217;-17,4249
-7,4462;-17,1074
-6,1264;-16,6445
-4,3794;-15,7847
-2,8600;-14,9781
-1,1409;-13,8011
0,5782;-12,4524
2,2974;-10,9051
4,0448;-9,4115
5,5922;-7,5205
7,1964;-5,6295
8,4000;-3,7386
9,6322;-1,8748
10,6926;0,2152
11,5811;2,0788
12,3265;4,1691
12,6992;6,0876
12,9000;7,8068
12,9288;9,5537
12,8144;11,1289
12,3271;12,5323
11,6677;13,7639
10,8361;14,8236
9,8325;15,7396
8,6566;16,2556
7,3086;16,8278
5,7599;17,0562
4,2396;16,9124
2,4905;16,5965
0,9700;16,1085
-0,7509;15,4766
-2,4718;14,4443
-4,2206;13,4680
-5,7971;12,1194
-7,1737;10,5707
-8,6057;9,0498
-9,6380;7,3567
-10,6979;5,4636
-11,6133;3,5981
-12,1569;1,5055
-12,5285;-0,3602
-12,7280;-2,4527
-12,7830;-4,3458
-12,4666;-6,2658
-11,9782;-7,9867
-11,3179;-9,7344
-10,4857;-11,3367
-9,4817;-12,5411
-8,3059;-13,7721
-6,9582;-14,8311
-5,4109;-15,7444
-3,8636;-16,2604
-2,3443;-16,8295
-0,6252;-17,0280
1,1222;-17,0810
2,6412;-16,7635
4,4171;-16,2741
5,7925;-15,6393
7,1680;-14,6076
8,6005;-13,6292
9,6322;-12,2537
10,7213;-10,9318
11,4378;-9,2127
11,9825;-7,4936
12,3552;-5,8014
12,5560;-3,9105
12,6136;-2,0195
12,2983;-0,1286
11,8110;1,7624
11,1802;3,6534
10,1479;5,5719
9,1442;7,3187
7,9684;8,8660
6,6203;10,4412
5,0716;11,8445
3,5229;13,0761
2,0025;14,1358
0,2534;15,0517
-1,2672;15,5677
-3,0440;16,1399
-4,3926;16,3681
-5,9692;16,1961
-7,3735;16,0804
-8,6057;15,5924
-9,6657;14,9605
-10,5259;13,9282
-11,4413;12,9518
-12,0125;11,5753
-12,1845;10,2266
-12,4115;8,7057
-12,2671;6,9848
-11,9507;5,2639
-11,4623;3,5706
-10,8020;1,6776
-9,9975;-0,2155
-8,7940;-2,1085
-7,6181;-4,0287
-6,2427;-5,7496
-4,8951;-7,4704
-3,3758;-9,2451
-1,6286;-10,6216
-0,0813;-12,0249
1,4660;-13,2827
3,0133;-14,1429
4,5890;-15,0563
5,9644;-15,5989
7,3684;-15,9695
8,6005;-16,1680
9,6608;-16,2210
10,5493;-15,9036
11,2946;-15,4142
11,6385;-14,7530
12,0400;-13,9198
12,0400;-12,9148
12,0975;-11,7380
11,8110;-10,3893
11,1228;-8,8420
10,4634;-7,3216
9,6604;-5,6295
8,4560;-3,7115
7,2801;-2,0195
5,9035;-0,1286
4,5554;1,7624
3,0067;3,6809
1,4580;5,4000
-0,0907;7,1468
-1,6394;8,7219
-3,1881;10,0973
-4,7647;11,5286
-6,1691;12,5602
-7,3735;13,6479
-8,6057;14,3639
-9,6657;14,9078
-10,5535;15,2799
-11,2968;15,4800
-11,6684;15,5362
-11,8404;15,1922
-12,0951;14,9043
-11,7511;14,2723
-11,4347;13,2400
-10,9740;12,2356
-10,1142;11,0591
-9,3098;9,7103
-8,1062;8,1616
-6,9304;6,6406
-5,5550;4,9198
-4,1795;3,2264
-2,8321;1,3060
-1,2848;-0,3876
0,2626;-2,3078
1,8099;-4,0287
3,3855;-5,7496
4,7609;-7,5244
6,1648;-8,8740
7,3684;-10,4764
8,6291;-11,6808
9,4889;-12,9386
10,4060;-13,7988
10,9219;-14,7122
11,4953;-15,2549
11,6960;-15,6255
11,7247;-15,8240
11,6102;-15,8771
11,0941;-15,5597
10,6354;-15,0703
9,7752;-14,4091
8,9722;-13,5759
7,7678;-12,5709
6,5633;-11,3941
5,4158;-10,0186
3,8387;-8,6970
2,4905;-6,9508
0,9418;-5,4306
-0,6069;-3,7386
-2,1837;-1,8204
-3,5602;-0,1013
-4,9368;1,6179
-6,3412;3,3370
-7,5734;5,0837
-8,6334;6,6310
-9,4936;8,2061
-10,4091;9,5815
-10,9528;11,0127
-11,3244;12,0444
-11,5240;13,1321
-11,5791;13,8199
-11,2352;14,5639
-10,9464;14,9359
-10,2585;15,1641
-9,6260;14,9921
-8,5943;14,8762
-7,5904;14,3601
-6,4146;13,9001
-5,0392;13,0679
-3,6637;12,0635
-2,3163;10,8870
-0,7690;9,5105
0,8065;8,1616
2,1537;6,6130
3,7293;5,0919
5,1332;3,3710
6,3367;1,6776
7,5688;-0,2428
8,6291;-1,9637
9,5175;-3,7117
10,2340;-5,2333
10,7786;-7,0082
11,1513;-8,3578
11,3807;-9,9602
11,2087;-11,1914
11,0941;-12,2237
10,5780;-13,3093
10,1193;-14,0241
9,2877;-14,5668
8,2554;-14,9374
7,2516;-15,1360
6,0756;-15,1626
4,6991;-15,0437
3,3225;-14,5278
1,9742;-14,0651
0,3973;-13,2054
-0,9511;-12,3990
-2,5278;-11,1954
-3,9044;-10,0186
-5,3088;-8,6701
-6,5411;-7,1497
-7,5734;-5,4035
-8,6334;-3,8834
-9,5490;-2,1642
-10,0651;-0,4451
-10,6088;1,2741
-10,9804;2,9932
-11,2076;4,7399
-11,0632;6,3148
-10,7192;7,6903
-10,4305;9,0935
-9,7703;10,3249
-8,9105;11,3566
-8,0785;12,4442
-7,0746;13,1600
-5,8988;13,7040
-4,5234;14,0760
-3,1479;14,2760
-1,7725;14,3040
-0,4251;14,1601
1,1504;13,8721
2,5258;13,1840
3,9013;12,5518
5,3051;11,5474
6,5372;10,3429
7,5974;9,1663
8,4571;7,7898
9,3742;6,4685
9,8901;4,7201
10,4347;3,1989
10,8360;1,4506
10,8360;-0,0707
10,8934;-1,7916
10,5780;-3,5396
10,0906;-5,0883
9,4025;-6,6640
8,7715;-8,0406
7,7392;-9,4440
6,7354;-10,6752
5,5594;-11,7075
4,1829;-12,7932
2,8063;-13,5080
1,4298;-14,0507
0,0532;-14,4214
-1,3233;-14,6200
-2,6999;-14,6732
-4,1044;-14,3292
-5,3088;-14,0385
-6,5411;-13,3507
-7,6012;-12,7162
-8,4614;-11,6845
-9,3770;-10,6796
-9,8930;-9,5028
-10,4644;-8,1543
-10,6640;-6,5800
-10,6640;-5,2587
-10,7192;-3,5124
-10,4029;-1,9923
-9,9146;-0,2459
-9,2544;1,2741
-8,3946;3,0207
-7,5904;4,5680
-6,3868;6,1429
-5,1832;7,5183
-4,0076;8,9216
-2,6321;10,1530
-1,2567;11,2125
0,1188;12,1003
1,4942;12,8161
2,8980;13,3600
4,0732;13,7320
5,5055;13,9320
6,5372;13,9600
7,5974;13,8441
8,4857;13,3280
9,1736;12,8679
9,9187;12,0077
10,2913;11,1753
10,4920;10,1709
10,5207;8,9942
10,3773;7,6454
10,0620;6,0967
9,5745;4,5480
8,8864;2,9993
8,2554;1,4780
7,2231;-0,2701
6,2192;-1,7916
5,0432;-3,5396
3,6383;-5,0883
2,4622;-6,6640
1,0856;-8,0675
-0,2909;-9,2719
-1,6675;-10,5032
-3,0720;-11,5622
-4,2765;-12,4492
-5,4809;-13,1640
-6,7409;-13,7067
-7,6012;-14,0774
-8,4891;-14,2760
-9,2049;-14,3026
-9,7487;-14,1572
-10,1204;-13,8665
-10,3200;-13,1787
-10,3476;-12,5175
-10,2033;-11,7112
-9,8870;-10,5076
-9,3987;-9,3041
-8,7386;-8,1543
-7,9065;-6,5800
-6,8748;-5,2316
-5,8710;-3,7115
-4,6674;-1,9651
-3,4918;-0,4451
-2,0883;1,3014
-0,9128;2,8487
0,4626;4,4236
1,8663;5,7990
3,0416;7,1745
4,4738;8,6054
5,5055;9,6371
6,5372;10,6967
7,6259;11,5844
8,3137;12,3002
9,0302;12,8441
9,5747;13,2160
9,9474;13,4160
10,1480;13,4440
10,2053;13,3000
9,8613;13,0119
9,5459;12,3238
9,0584;11,6636
8,3988;10,8312
7,5386;9,8268
6,7354;8,6223
5,5025;7,4456
4,5270;6,0967
3,1221;4,5205
1,9460;3,1989
0,5694;1,4506
-0,8353;-0,0981
-2,0397;-1,6468
-3,2441;-3,1955
-4,4485;-4,7713
-5,6808;-6,1478
-6,7409;-7,5513
-7,6012;-8,7557
-8,5168;-9,9870
-9,0329;-11,0729
-9,5767;-11,7610
-9,9760;-12,4759
-9,9760;-13,0186
-10,0036;-13,3893
-9,8870;-13,5880
-9,3710;-13,6147
-8,8828;-13,4693
-8,2227;-13,1520
-7,3907;-12,6628
-6,3590;-12,0017
-5,3552;-11,1686
-4,1516;-10,1638
-2,9480;-8,9602
-1,7725;-7,7835
-0,3689;-6,4081
0,8065;-5,0597
2,2102;-3,4853
3,4138;-2,1370
4,6457;-0,5897
5,6774;0,9576
6,7376;2,5323
7,6259;3,8803
8,3137;5,4828
9,0588;6,6863
9,4028;7,8899
9,8040;9,1213
