"Position (mm) Run #1";"Position (mm) Run #2"
-14,5111;7,6917
-15,2264;9,1224
-15,8240;10,1541
-15,8512;11,1857
-15,7063;12,2729
-15,4168;12,9886
-14,7561;13,5323
-13,9508;13,9042
-12,7472;14,1040
-11,5984;14,1319
-10,0785;13,9877
-8,3869;13,6715
-6,4960;13,2111
-4,6327;12,3508
-2,5700;11,5184
-0,5072;10,5137
1,5836;9,3369
3,4464;7,9604
5,5374;6,6113
7,4567;5,0626
9,2042;3,5413
10,7800;1,7932
12,1840;0,2716
13,4448;-1,4763
14,3333;-3,0250
15,0499;-4,5737
15,6233;-6,1493
15,8240;-7,5258
15,8815;-8,9291
15,5662;-10,1335
15,1076;-11,3911
14,2760;-12,2513
13,3010;-13,1645
11,9244;-13,7071
10,6049;-14,0511
8,8840;-14,4480
7,1915;-14,4744
5,2985;-14,3289
3,4336;-14,0113
1,3683;-13,4954
-0,7249;-13,0590
-2,5901;-12,0008
-4,6830;-11,1941
-6,6314;-9,9906
-8,1525;-8,8137
-9,9283;-7,4382
-11,3323;-6,0896
-12,5914;-4,5423
-13,4516;-3,0220
-14,3663;-1,2758
-14,9368;0,2444
-15,1360;1,9908
-15,1632;3,5381
-15,0456;5,1128
-14,5569;6,4882
-13,9236;7,8912
-12,9192;9,1224
-11,7430;10,1541
-10,3949;11,2134
-8,8751;12,1010
-7,1560;12,8444
-5,4645;13,1884
-3,5736;13,5602
-1,7105;13,7600
0,3802;13,8157
2,2151;13,4716
4,5341;13,1832
6,2533;12,4951
8,0008;11,8347
9,5765;11,0299
10,9804;9,7978
12,1840;8,8207
13,4735;7,4442
14,1613;6,0951
14,8779;4,5464
15,3938;2,9977
15,9097;1,4490
16,5696;-0,0725
16,2831;-1,8475
15,6237;-3,1971
14,8209;-4,7458
13,6165;-6,3482
12,4692;-7,5258
10,9205;-8,9291
9,5995;-10,1601
6,4748;-11,2456
4,8668;-11,9072
2,3728;-12,8205
0,4798;-13,3630
-1,4132;-13,7335
-3,3063;-13,9320
-5,2270;-13,9585
-6,9755;-13,8129
-8,5242;-13,4954
-10,1278;-13,0060
-11,3323;-12,3181
-12,5914;-11,6834
-13,4789;-10,6783
-14,2215;-9,4747
-14,5928;-8,2712
-14,8192;-7,1211
-14,6744;-5,5738
-14,3577;-4,0265
-13,8963;-2,4522
-13,0638;-1,1309
-12,0595;0,6154
-10,8833;2,1899
-9,5353;3,5381
-8,0156;5,1128
-6,2964;6,5157
-4,6050;7,7192
-2,7419;8,9504
-0,6512;9,9821
1,2398;11,0692
3,1588;11,7570
4,8780;12,5004
6,6254;12,8444
8,1727;13,2440
9,7484;13,2440
11,1809;13,2996
12,2411;12,9556
13,1295;12,6671
13,8460;12,0068
14,3906;11,1465
14,7920;10,3140
14,8494;9,3093
14,5341;8,1325
14,0753;6,7559
13,2151;5,3794
12,4121;4,0028
11,2362;2,6535
9,8596;1,1048
8,5399;-0,4438
6,8190;-1,9925
5,0981;-3,5412
3,4054;-5,1437
1,5124;-6,3213
-0,3807;-7,7247
-2,2737;-8,9558
-4,2223;-9,9881
-5,7433;-11,0736
-7,4917;-11,7352
-9,0680;-12,6750
-10,4994;-13,0190
-11,5317;-13,3895
-12,6187;-13,5880
-13,3341;-13,6409
-13,9047;-13,2970
-14,0767;-12,9795
-14,3032;-12,4901
-14,1857;-11,8288
-13,6971;-10,9956
-13,0365;-9,9906
-12,2041;-8,7870
-11,2272;-7,6102
-9,8517;-6,2079
-8,5038;-5,0581
-6,9841;-3,5108
-5,2650;-1,9635
-3,5736;-0,3890
-1,6826;0,9592
0,2363;2,5338
1,8713;3,9092
4,2185;5,2847
5,5400;6,6876
8,7168;7,9187
10,0923;8,9504
11,4963;10,0097
12,7284;10,8972
13,7888;11,6128
14,7059;12,1287
15,2506;12,7002
15,6233;12,9000
15,9103;12,9278
15,5091;12,7558
14,2187;12,6393
13,5878;12,1510
12,5555;11,4629
11,5232;10,8302
10,5479;9,7978
9,1713;8,7931
7,8515;7,5887
6,1307;6,4118
4,4662;5,0626
2,3448;3,4866
0,6519;2,1373
-1,2411;0,5614
-3,1898;-0,7880
-4,7108;-2,3367
-6,4593;-3,9393
-8,0355;-5,1168
-9,4396;-6,5202
-10,6714;-7,7247
-11,7585;-8,9558
-12,4467;-10,0148
-13,1894;-10,8750
-13,5607;-11,7883
-13,7600;-12,3044
-13,8145;-12,8735
-13,4979;-13,0720
-13,0365;-13,0720
-12,1767;-13,0985
-11,3717;-12,9795
-10,1682;-12,4636
-8,9921;-12,0008
-7,6442;-11,1144
-6,1245;-10,4798
-4,4054;-9,4481
-2,7141;-8,4698
-0,7952;-7,0676
0,9240;-5,8908
2,6431;-4,5154
4,3622;-3,1669
6,1379;-1,5926
7,5133;-0,2442
8,8888;1,3303
10,3212;2,6784
11,3814;4,2805
12,2697;5,4566
13,0148;6,8870
13,3587;7,9187
13,7600;8,9504
13,8173;10,0374
13,4733;10,7253
13,1865;11,4408
12,5555;11,9845
11,5232;12,3562
10,5194;12,5560
9,3434;12,5838
7,9952;12,4395
6,4465;12,1233
4,9260;11,6349
3,2052;10,9745
1,4843;10,1143
-0,2365;9,2817
-1,9574;8,2769
-3,6783;7,0725
-5,4268;5,8956
-7,0031;4,5190
-8,4072;3,1425
-9,6391;1,7932
-10,6714;0,2173
-11,7585;-1,1322
-12,4740;-2,7079
-13,0447;-4,1114
-13,2167;-5,3158
-13,4433;-6,5202
-13,3259;-7,7514
-12,8373;-8,7837
-12,1494;-9,8427
-11,5163;-10,7295
-10,5120;-11,4443
-9,3359;-11,9603
-7,9605;-12,5560
-6,6403;-12,5560
-4,9211;-12,5560
-3,1742;-12,6090
-1,6826;-12,2651
0,2643;-11,9742
1,8116;-11,2863
3,3307;-10,6251
5,0781;-9,7920
6,6537;-8,7603
8,0575;-7,7553
9,2610;-6,5786
10,4931;-5,1762
11,5818;-3,9996
12,2983;-2,6242
12,8428;-1,2758
13,2154;0,2987
13,4446;1,6741
13,3012;3,0769
12,9858;4,2531
12,5269;5,6560
11,6667;6,8870
10,8635;7,9187
9,6591;8,9780
8,4831;9,8378
7,1348;10,7529
5,6144;11,2966
3,8654;11,6405
2,3448;12,0400
0,6239;12,0400
-1,1249;12,0678
-2,6457;11,9235
-4,4221;11,6072
-5,7710;11,1188
-7,3749;10,4584
-8,5793;9,5982
-9,8112;8,7655
-10,8983;7,7608
-11,5865;6,5563
-12,3293;5,3794
-12,7007;4,0028
-12,9273;2,6263
-12,7553;1,2497
-12,6380;-0,1268
-12,1494;-1,5034
-11,4889;-2,9070
-10,6566;-4,0844
-9,6523;-5,4879
-8,4763;-6,6923
-7,1284;-7,9235
-5,5811;-8,9825
-4,0338;-9,8694
-2,5143;-10,5575
-0,7673;-11,2988
0,7520;-11,6429
2,4992;-11,9869
4,0466;-12,3840
5,6221;-12,4105
6,9975;-12,2651
8,4297;-11,9742
9,4614;-11,2332
10,4931;-10,9956
11,6104;-9,9106
12,1263;-9,2761
12,6994;-8,2444
12,9000;-7,2395
12,9572;-6,0359
12,6132;-4,8593
12,3263;-3,4838
11,6382;-2,1084
11,0071;-0,7329
9,9747;0,6425
8,9708;2,0180
7,7664;3,4208
6,4771;4,6243
6,0151;5,8279
3,8090;7,0590
2,8295;8,1182
0,1076;8,9780
-1,6132;9,8654
-3,3619;10,5810
-4,9383;11,1246
-6,3149;11,4963
-7,7190;11,6960
-8,9509;11,6960
-10,0107;11,7237
-10,8983;11,6072
-11,6139;11,0911
-12,1847;10,6027
-12,3840;9,9422
-12,3840;9,0820
-12,4660;8,2494
-11,9501;7,2446
-11,4615;6,0402
-10,8285;4,8357
-9,7968;3,6587
-8,7926;2,2821
-7,6166;0,9056
-6,2412;-0,4981
-4,8934;-1,6755
-3,3461;-3,0790
-1,8267;-4,2565
-0,0796;-5,6868
1,4677;-6,7191
3,0150;-7,7514
4,5905;-8,8372
5,9659;-9,4986
7,3697;-10,4121
8,6017;-10,9548
9,6618;-11,2988
10,5501;-11,6694
11,2664;-11,8680
11,8109;-11,8946
12,1834;-11,7757
12,3840;-11,2598
12,4412;-10,7704
12,1257;-10,0559
11,6382;-9,6200
11,0071;-8,5883
9,9463;-7,5566
9,1429;-6,5518
7,9669;-5,3482
6,5903;-4,1446
5,2420;-2,9680
3,6933;-1,5926
2,1446;-0,1900
0,5959;0,9864
-0,9528;2,3619
-2,5015;3,7646
-4,0780;4,9682
-5,4545;6,1992
-6,8587;7,2584
-8,0907;8,1182
-9,1505;8,9780
-10,0107;9,8931
-10,9258;10,4090
-11,4692;10,9526
-11,8406;11,3243
-12,0400;11,5240
-12,0947;11,5517
-11,7507;11,4074
-11,4615;11,0634
-10,7737;10,7748
-10,1407;10,0866
-9,1365;9,3985
-7,9329;8,7655
-6,7570;7,7332
-5,3815;6,7284
-4,0338;5,4966
-2,4865;4,5190
-0,9671;3,1151
0,8080;1,9380
2,1554;0,5342
3,7308;-0,6431
5,1063;-2,0467
6,5100;-3,2511
7,7419;-4,4555
8,7168;-5,6599
10,1492;-6,9180
11,1239;-7,7782
12,6422;-8,6384
13,2154;-9,5253
13,4160;-10,2667
13,4446;-10,5841
13,3299;-11,1534
12,8138;-11,3520
12,3549;-11,3520
11,6945;-11,3786
9,4302;-11,2332
8,6551;-10,9424
7,3069;-10,2279
5,7300;-9,7920
4,3816;-8,7336
2,8048;-7,8738
1,4843;-7,0408
-0,2924;-6,0359
-1,6411;-4,8324
-3,2176;-3,6288
-4,5664;-2,4522
-6,1704;-1,0497
-7,4025;0,1267
-8,4348;1,5294
-9,5221;2,7330
-10,2102;3,9366
-10,9532;5,1675
-11,2972;6,1992
-11,6960;7,2309
-11,7234;8,3177
-11,5788;9,0056
-11,2622;9,7211
-10,7737;10,2647
-10,1133;10,6086
-9,2810;10,9803
-8,2493;11,1800
-7,2728;11,2077
-5,8973;11,0911
-4,5219;10,5474
-3,1464;10,2310
-1,7988;9,7702
-0,2515;8,9100
1,3238;8,0498
2,6993;7,2171
4,0747;6,2122
5,4502;5,0078
6,8822;3,8034
7,9139;2,5990
8,9740;1,4218
9,8622;0,0181
10,5785;-1,1593
11,1515;-2,5628
11,3235;-3,7942
11,5525;-4,7996
11,3805;-6,0309
11,2656;-7,0900
10,7780;-7,9502
10,0899;-8,8372
9,4586;-9,5520
8,4263;-10,0681
7,4506;-10,6108
6,0458;-10,9814
4,8696;-11,1800
3,5212;-11,2066
1,9444;-11,0346
0,5959;-10,9158
-0,9807;-10,3999
-2,3294;-9,9106
-3,9337;-9,2228
-5,1104;-8,5883
-6,5422;-7,5566
-7,5745;-6,5249
-8,6344;-5,4933
-9,5221;-4,5154
-10,2377;-3,1130
-10,7812;-1,9094
-11,1526;-0,7058
-11,3794;0,4978
-11,2074;1,7014
-11,0628;2,9049
-10,7737;4,1085
-10,0858;5,3395
-9,4254;6,3986
-8,5932;7,2584
-7,5891;8,1458
-6,4131;8,8336
-5,0100;9,5491
-3,8619;10,0927
-2,2868;10,4643
-0,9950;10,6640
1,0079;10,6640
2,0432;10,6917
4,3904;10,5474
5,9942;10,2310
7,1695;9,7425
8,7720;9,0544
8,6584;8,3938
9,3463;7,5336
10,0626;6,7009
10,6070;5,6960
10,9510;4,4916
11,3520;3,2872
11,4091;2,0828
11,0650;0,8784
10,7780;-0,3261
10,0614;-1,5305
9,6022;-2,7349
8,7704;-3,9663
7,7664;-4,9717
6,5620;-6,2298
5,3858;-7,0632
4,0093;-8,1758
2,6327;-8,6651
1,2562;-9,3533
-0,0924;-10,0947
-1,6690;-10,4654
-3,0455;-10,6374
-4,4498;-10,8360
-5,6820;-10,8626
-6,7143;-10,7172
-7,7466;-10,3999
-8,8339;-9,8840
-9,5221;-9,3947
-10,2651;-8,7336
-10,6366;-7,8470
-10,8086;-7,2127
-11,0354;-6,2079
-10,8908;-4,9774
-10,5469;-3,9727
-10,2578;-2,7691
-9,5974;-1,5655
-8,7651;-0,3619
-7,7334;0,8417
-6,7294;2,0452
-5,5258;3,2761
-4,3499;4,3078
-2,9745;5,3395
-1,5990;6,3986
-0,2515;7,2584
1,3238;8,1733
2,7273;8,6617
3,9309;9,4048
5,1345;9,7487
6,3663;10,1203
7,4264;10,2923
8,2861;10,5197
9,1743;10,3753
9,8906;10,0313
10,4635;9,7149
10,6355;9,2264
10,8360;8,5383
10,8930;7,8777
10,5775;7,0450
10,0614;6,0127
9,5737;4,9804
8,9424;3,9481
7,9101;2,9431
6,8778;1,7387
5,8738;0,5342
4,6975;-0,6702
3,3210;-1,8746
1,9444;-3,1060
0,5679;-4,1383
-0,8366;-5,1706
-1,9853;-6,2030
-3,5895;-7,2621
-4,7940;-8,1758
-6,0261;-8,6651
-7,0584;-9,4066
-8,1182;-9,7240
-9,0335;-10,3200
-9,5496;-10,2934
-10,0931;-10,5186
-10,4646;-10,3466
-10,6640;-10,1746
-10,7188;-10,0559
-10,3749;-9,5667
-10,0584;-8,8788
-9,5699;-8,1910
-8,9096;-7,5566
-8,0773;-6,5249
-7,0732;-5,4933
-5,8420;-4,4616
-4,8657;-3,4568
-3,4903;-2,2262
-2,0870;-1,2216
-0,9113;-0,0180
0,4641;1,1855
1,8396;2,4164
3,2432;3,4481
4,4467;4,4798
5,6785;5,5389
6,7102;6,3986
7,7703;7,2584
8,6584;8,1733
9,3747;8,6892
9,9191;9,2328
10,2915;9,5767
10,4920;9,9484
10,5205;10,1480
10,3770;10,1757
10,0614;10,0313
9,5737;9,7149
8,9140;9,1988
8,0538;8,7103
7,2219;8,0222
6,2179;7,3616
5,0135;6,5289
3,8372;5,4966
2,4326;4,4642
1,2562;3,4319
-0,1204;2,4269
-1,4969;1,2225
-2,9013;-0,0091
-4,1057;-1,0143
-5,3378;-2,2187
-6,3702;-3,4501
-7,4301;-4,4824
-8,3454;-5,5416
-8,8339;-6,4018
-9,5770;-7,2621
-9,9485;-8,1490
-10,1480;-8,8639
-10,1480;-9,4066
-10,2029;-9,7773
-9,8864;-9,9493
-9,3705;-10,1480
-8,9096;-10,1480
-8,0498;-10,2013
-7,2176;-9,8307
-6,1859;-9,7387
-5,1819;-9,0241
-4,0061;-8,5616
-2,6028;-7,6751
-1,4271;-7,0140
-0,0516;-6,1810
1,3518;-5,1494
2,5273;-4,1177
3,9309;-3,1130
5,1627;-1,8823
6,1661;-0,8777
7,4264;0,3258
8,3429;1,5566
8,8020;2,5883
9,7471;3,6200
10,0911;4,6517
10,4920;5,7108
10,4635;6,5981
10,6640;7,2859
10,6640;8,0013
10,6925;8,5173
10,6060;9,0608
9,9463;9,4324
9,1145;9,6044
8,0822;9,8316
7,0782;9,6596
6,0151;9,5153
3,8372;9,1712
2,5168;8,8824
0,7400;8,1667
-0,6645;7,7057
-1,8411;6,8455
-3,2454;5,9852
-4,4776;5,1524
-5,5099;4,1201
-6,5698;3,1151
-7,4301;1,8835
-8,3454;0,8784
-8,8615;-0,3532
-9,4325;-1,3584
-9,6045;-2,5899
-9,8040;-3,6222
-9,8315;-4,6814
-9,7144;-5,5416
-9,1710;-6,4018
-8,9096;-7,2621
-8,0222;-8,2025
-7,3620;-8,4931
-6,5574;-9,2613
-5,3262;-9,4066
-4,3222;-9,7773
-3,1186;-9,9760
-1,9150;-10,0027
-0,7394;-9,8573
0,6641;-9,5133
1,8676;-9,1961
3,0712;-8,7069
4,3030;-8,0190
5,3346;-7,3579
6,3663;-6,4981
7,4547;-5,6383
8,1425;-4,8055
8,8872;-3,7738
9,2312;-2,7691
9,6036;-1,5384
9,8040;-0,5339
9,8325;0,6969
9,6889;1,7286
9,3733;2,7603
8,8572;3,7920
8,3979;4,8510
7,5377;5,7108
6,6775;6,5981
5,8455;7,2859
4,8414;8,0013
3,6370;8,5448
2,4326;8,8888
1,2562;9,2604
-0,1483;9,4600
-1,3528;9,4876
-2,5572;9,3156
-3,7616;9,1712
-4,9937;8,8548
-6,0537;8,3387
-6,9416;7,8777
-7,6297;6,9900
-8,3454;6,3293
-8,8890;5,4691
-9,2605;4,6363
-9,4600;3,6040
-9,4600;2,5717
-9,5150;1,5394
-9,1710;0,5342
-8,8821;-0,6973
-8,1942;-1,7296
-7,5339;-2,7619
-6,7017;-3,7942
-5,6424;-4,8535
-4,8380;-5,7137
-3,6622;-6,6007
-2,2311;-7,2889
-1,2552;-8,0037
0,1482;-8,5198
1,3518;-9,0893
2,4992;-9,2613
4,0466;-9,4333
5,7915;-9,6320
5,8530;-9,6587
8,0858;-9,5400
9,1743;-8,9707
9,9191;-8,8521
10,2346;-8,3629
10,8075;-7,7018
10,9795;-6,8152
11,2370;-6,1810
10,9785;-5,1225
10,0614;-4,2896
9,6022;-3,2579
8,7420;-2,2262
7,8534;-1,1945
7,2219;-0,1900
6,1896;1,0408
5,1855;2,0725
3,9811;3,1042
2,7486;4,1632
1,7724;5,0230
0,3678;5,9102
-0,8366;6,5981
-2,0689;7,3135
-3,0734;7,8294
-4,3055;8,3729
-5,3655;8,7168
-6,2258;9,1160
-7,1136;9,1160
-7,8293;9,1436
-8,3454;8,9716
-8,9165;8,8272
-9,0885;8,5107
-9,2880;7,9946
-9,3155;7,5336
-9,1710;6,6459
-8,8545;5,9852
-8,3662;5,1250
-7,7059;4,2922
-6,8185;3,2599
-6,1859;2,2276
-5,1542;1,1953
-4,1503;0,1901
-2,9467;-1,0414
-1,7152;-2,1008
-0,7115;-2,9340
0,4921;-3,9663
1,6957;-5,0255
2,9274;-5,9126
3,9591;-6,6007
4,9908;-7,2889
6,0507;-8,0037
6,9388;-8,5466
7,6550;-8,9173
8,1709;-9,0893
8,7152;-9,2613
9,0876;-9,4867
9,3164;-9,3147
9,1444;-9,1694
8,9724;-8,8521
8,8572;-8,3362
8,3411;-7,8203
7,8534;-7,3579
7,2219;-6,4981
6,1613;-5,6383
5,3294;-4,7786
4,2970;-3,9457
3,2929;-2,9140
2,0604;-1,8823
1,0561;-0,8506
-0,1483;0,1810
-1,3528;1,2127
-2,5572;2,2444
-3,8172;3,3034
-4,6496;4,1632
-5,7096;5,0230
-6,5975;5,9102
-7,2856;6,5981
-8,0289;7,3135
-8,3729;7,8569
-8,7445;8,2009
-8,9440;8,5724
-8,9440;8,7444
-8,9990;8,9716
-8,6551;8,7996
-8,3662;8,6276
-7,6783;8,5107
-6,9904;7,9671
-6,3578;7,6781
-5,2985;6,9900
-4,4941;6,3293
-3,2628;5,4691
-2,2311;4,6089
-1,2552;3,7487
0,1762;2,9158
1,1799;1,8835
2,3835;0,8512
3,6433;-0,1812
4,5031;-1,2135
5,3629;-2,2458
6,2227;-3,3051
7,1107;-4,1653
7,8553;-5,0255
8,1709;-5,9126
8,7436;-6,6275
8,9440;-7,1168
8,9724;-7,8585
8,8004;-8,1758
8,6568;-8,7453
8,3411;-8,9173
7,8534;-9,1160
7,1936;-9,1427
6,3051;-8,9707
5,6735;-8,8521
4,6411;-8,3362
3,6088;-7,7935
2,6046;-7,5299
1,3722;-6,6165
0,3678;-6,1542
-0,8366;-5,3213
-2,0689;-4,2627
-3,1012;-3,4029
-4,1335;-2,5701
-5,1935;-1,5384
-6,0814;-0,5067
-6,7695;0,5249
-7,4852;1,5566
-8,0289;2,6156
-8,4005;3,4754
-8,5725;4,3352
-8,7720;5,2224
-8,7995;5,9102
-8,6826;6,5981
-8,1391;7,3410
-7,8503;7,6849
-7,1624;8,0289
-6,5022;8,4004
-5,6424;8,6000
-4,8103;8,6276
-3,7786;8,4556
-2,7469;8,3111
-1,7431;7,9671
-0,5116;7,6506
0,4921;7,1345
1,7237;6,6734
2,7554;5,7858
3,7871;5,1250
4,8470;4,2648
5,7068;3,4319
6,6231;2,3723
7,1107;1,5394
7,8553;0,5071
8,1993;-0,5253
8,6000;-1,5576
8,5716;-2,6169
8,8004;-3,4771
8,6568;-4,3373
8,3411;-5,2244
7,8250;-5,8857
7,3373;-6,7996
6,6775;-7,3156
5,7890;-7,8585
5,1291;-8,2025
4,3252;-8,5733
3,0646;-8,7453
2,1482;-8,9707
1,8566;-8,7987
-0,1763;-8,6267
-1,1807;-8,5082
-2,3851;-7,9655
-3,6173;-7,6751
-4,6774;-6,9872
-5,5653;-6,2993
-6,2534;-5,6115
-6,9416;-4,9774
-7,6849;-3,9188
-8,0289;-3,0860
-8,4005;-2,0272
-8,6000;-1,1945
-8,6275;-0,1629
-8,4831;0,8960
-8,1391;1,7286
-7,8227;2,7876
-7,3344;3,6473
-6,6741;4,5345
-5,7867;5,2224
-5,1542;5,9102
-4,1225;6,6256
-3,0908;7,1690
-2,0591;7,4854
-1,0553;8,0564
0,1762;8,2560
1,2079;8,2560
2,2396;8,2560
3,2713;8,3111
4,3311;7,9395
5,2191;7,8226
5,9070;7,3065
6,5948;6,8180
7,3110;6,1298
7,8836;5,4417
8,0556;4,7809
8,2560;3,9207
8,2560;3,0878
8,3127;2,0555
7,9687;0,9960
7,6530;0,1630
7,1653;-0,8965
6,4488;-1,7296
5,9893;-2,7889
5,1573;-3,6492
4,0968;-4,5363
3,2647;-5,1975
2,2324;-6,1115
1,2281;-6,6275
-0,0042;-7,1436
-1,0366;-7,6865
-2,0689;-8,0305
-3,1012;-8,4013
-4,1612;-8,6000
-5,0492;-8,6267
-5,7373;-8,4547
-6,4255;-8,3095
-7,1412;-7,9655
-7,6849;-7,6483
-8,0564;-7,1324
-8,2560;-6,6433
-8,2560;-5,9554
-8,2835;-5,2944
-8,1391;-4,4346
-7,8227;-3,5749
-7,3068;-2,7421
-6,8185;-1,6833
