"Position (mm) Run #2";"Position (mm) Run #3"
-151,1396;-117,5401
-147,3597;-112,9024
-143,5937;-108,2335
-139,6282;-103,9389
-135,8626;-99,6283
-131,8968;-95,4890
-128,1315;-91,5376
-124,1653;-87,5695
-120,3854;-83,8065
-116,6056;-79,8040
-112,8104;-76,2817
-109,1867;-73,6863
-105,7501;-71,2452
-102,2977;-69,1298
-99,0007;-67,5649
-96,0792;-66,1364
-93,1250;-65,2589
-90,5305;-64,5178
-88,0911;-64,3280
-86,0116;-64,2747
-84,0871;-64,7552
-82,5061;-65,5977
-81,2856;-66,5770
-80,2369;-68,0905
-79,3431;-69,9661
-78,7931;-71,9791
-78,6040;-74,5438
-78,5699;-77,2637
-78,8798;-80,3285
-79,5339;-83,7719
-80,5492;-87,1821
-81,7198;-90,9373
-83,2349;-95,0703
-85,1112;-99,1872
-87,1598;-103,4292
-89,3641;-108,3776
-91,9297;-113,9517
-94,6676;-118,7745
-97,5780;-123,6121
-100,6767;-128,2478
-103,7439;-133,0849
-107,1873;-137,7210
-110,6153;-142,5715
-114,2311;-147,0494
-117,8318;-151,5406
-121,6199;-155,8592
-125,4081;-159,9922
-129,1963;-164,1635
-132,9844;-167,7793
-136,7726;-171,4200
-140,5748;-174,7156
-144,1906;-177,6542
-147,8336;-180,4204
-151,1047;-183,0379
-154,3758;-185,1149
-157,6731;-187,0312
-160,6126;-188,6031
-163,3796;-189,8305
-165,9743;-190,7251
-168,3966;-191,0806
-170,6589;-191,2869
-172,5644;-190,9543
-174,3098;-190,4728
-175,6985;-189,4642
-176,9273;-188,1119
-177,8117;-186,4044
-178,3519;-184,5370
-178,5360;-182,3261
-178,5601;-179,7721
-178,2282;-176,8627
-177,7365;-173,7941
-176,9010;-170,3700
-175,7097;-166,7744
-174,3465;-163,0202
-172,8239;-158,8971
-170,9453;-154,8006
-168,9077;-150,3344
-166,5140;-145,8682
-163,9487;-141,4159
-161,2118;-136,7781
-158,3034;-132,1404
-155,2234;-127,5027
-151,9719;-122,8649
-148,5489;-118,2272
-144,9269;-113,5742
-141,5043;-109,1080
-137,8961;-104,6418
-134,3021;-100,1596
-130,5078;-95,9459
-126,8996;-90,6621
-123,2914;-86,8490
-119,6832;-83,3788
-116,0750;-80,2686
-112,4514;-77,3129
-108,9993;-74,7003
-105,7187;-72,4311
-102,6255;-70,5227
-99,5003;-68,7509
-96,7343;-67,5297
-94,1237;-66,4627
-91,8892;-65,7394
-89,6051;-65,3423
-87,8860;-65,4966
-86,1335;-65,7875
-84,7245;-66,6300
-83,6928;-67,6095
-82,6106;-69,1231
-82,0947;-70,9987
-81,5280;-73,0119
-81,5111;-75,5766
-81,6662;-78,2624
-81,9595;-81,6551
-82,8029;-85,6156
-83,8184;-89,5927
-84,9726;-93,3645
-86,6934;-97,3089
-88,3811;-101,4260
-90,4299;-105,7313
-92,6510;-110,0212
-95,0444;-114,4838
-97,6102;-119,1340
-100,3484;-123,7843
-103,2591;-128,4346
-106,3422;-133,0849
-109,6133;-137,7493
-112,8690;-142,2271
-116,2973;-146,7049
-119,9131;-151,2096
-123,5437;-155,3426
-126,9725;-159,5016
-130,5883;-163,2898
-134,2041;-167,1033
-137,8340;-170,5592
-141,2914;-173,8549
-144,5625;-176,7936
-147,8336;-179,5718
-151,1181;-181,9934
-154,2435;-184,2544
-156,9846;-186,1825
-159,9371;-187,5707
-162,5319;-188,7982
-164,9543;-189,6930
-167,2171;-190,0485
-169,1226;-190,2550
-170,8560;-189,9340
-172,4294;-189,2576
-173,6585;-188,4326
-174,5309;-187,0688
-175,2313;-185,5449
-175,7840;-183,6775
-175,7840;-181,4549
-175,8084;-179,0847
-175,4889;-176,1753
-174,8133;-173,0944
-173,9781;-169,8545
-172,7868;-166,2716
-171,4238;-162,3202
-169,9015;-158,3818
-168,0357;-154,2720
-165,8011;-149,9908
-163,5922;-145,5246
-161,0271;-141,0584
-158,2773;-136,6064
-155,5539;-131,9686
-152,4607;-127,3309
-149,3809;-122,6932
-146,1160;-118,0705
-142,8650;-113,2765
-139,4284;-108,2958
-135,9919;-103,2518
-132,5553;-98,9251
-129,1333;-94,9574
-125,5250;-91,1611
-121,9020;-87,5197
-118,4804;-84,2381
-114,9331;-81,1279
-110,5922;-78,1723
-106,7498;-75,5598
-103,6408;-73,2906
-100,7033;-71,3822
-97,9374;-69,6106
-95,3432;-68,3894
-92,9042;-67,3225
-90,8250;-66,5817
-88,9340;-66,3920
-87,0098;-66,3390
-85,4290;-66,8374
-84,2087;-67,4727
-83,1602;-68,6595
-82,2666;-69,9836
-81,7169;-71,8592
-81,5280;-73,8898
-81,4942;-76,2823
-81,8213;-78,8301
-82,3036;-81,7228
-83,1470;-84,9939
-84,1457;-88,2152
-85,5055;-92,0034
-87,0376;-95,7266
-88,7253;-100,1244
-90,7741;-105,5277
-92,9952;-110,1934
-95,3562;-114,6560
-98,1861;-119,3063
-102,2420;-123,9714
-105,1528;-128,4346
-108,2360;-133,0992
-111,5071;-137,5770
-114,7629;-142,0688
-118,2064;-146,3742
-121,6647;-150,6930
-124,9211;-154,8392
-128,3645;-158,7998
-131,8224;-162,7861
-135,0935;-166,4146
-138,3646;-169,8705
-141,6496;-173,1540
-144,7484;-176,2893
-147,8472;-178,8713
-150,9594;-181,4890
-153,9125;-183,5779
-156,4945;-185,3105
-159,0895;-186,8941
-161,5121;-187,9380
-163,7623;-188,8329
-165,8530;-189,1885
-167,5865;-189,3835
-169,1603;-189,2461
-170,3772;-188,5698
-171,4219;-187,7332
-172,3069;-186,5530
-172,8353;-185,0409
-173,2040;-182,9900
-173,2040;-180,7674
-173,2410;-178,3972
-172,7374;-175,4879
-172,0619;-172,4071
-171,2270;-169,1547
-170,0359;-165,7435
-168,6856;-161,9766
-166,9791;-158,0251
-165,1009;-154,1002
-163,0638;-149,8056
-160,6574;-145,5109
-158,2642;-141,2302
-155,6993;-136,7640
-152,9495;-132,3122
-150,2132;-127,6598
-147,3053;-123,2085
-144,2121;-118,5557
-141,1328;-114,1048
-137,8679;-109,4515
-134,6030;-105,0168
-131,3525;-100,1915
-127,9014;-95,4728
-124,6365;-91,6602
-121,3566;-88,2071
-118,2785;-84,9254
-114,9831;-81,7984
-112,0616;-79,0316
-109,1246;-76,4192
-106,3591;-74,1501
-103,7811;-72,2244
-101,1871;-70,6597
-98,7487;-69,2317
-96,6859;-68,3543
-94,6069;-67,6312
-92,6996;-67,2344
-90,9476;-67,3888
-89,5556;-67,6800
-88,3355;-68,5226
-87,2871;-69,5023
-86,4107;-71,0336
-85,7228;-72,7197
-84,9847;-74,7677
-84,7625;-76,9708
-85,0898;-79,5187
-85,5724;-82,4114
-86,4160;-85,6825
-87,4150;-88,9205
-88,7916;-92,5199
-90,1351;-96,2919
-91,8396;-100,2205
-93,7000;-104,5416
-95,9375;-108,5811
-98,1427;-113,7642
-100,7247;-118,7896
-103,2908;-123,4398
-106,0293;-128,1047
-108,9402;-132,5825
-112,0082;-137,0604
-115,4364;-141,5382
-119,0672;-146,0434
-122,5107;-150,1764
-125,9688;-154,3093
-129,2399;-158,4685
-132,5110;-162,2695
-135,7963;-165,8980
-138,8951;-169,3666
-141,9939;-172,4777
-145,1065;-175,4287
-148,0466;-178,0227
-150,8008;-180,4564
-153,5816;-182,5453
-155,9913;-184,2898
-158,4271;-185,6780
-160,4924;-186,9174
-162,5834;-187,6172
-164,3170;-188,1564
-165,8911;-188,3516
-167,0955;-188,2143
